cliente_id,idade,tempo_cliente_meses,contrato,forma_pagamento,charge_mensal,total_cobrado,num_produtos,tem_internet,tem_fone,chamadas_suporte,churn
CLI-00001,56,9,anual,cartao_credito,105.2,923.1,4,0,1,2,0
CLI-00002,69,37,anual,debito_automatico,102.64,3992.8,3,1,1,4,0
CLI-00003,46,36,mensal,debito_automatico,34.29,1183.85,1,1,1,3,0
CLI-00004,32,28,mensal,debito_automatico,88.68,2292.89,3,1,1,1,0
CLI-00005,60,42,anual,cartao_credito,66.34,2651.17,3,1,1,2,0
CLI-00006,25,43,anual,cartao_credito,101.19,4253.13,4,1,1,0,0
CLI-00007,38,42,mensal,cartao_credito,104.13,3981.78,1,0,1,1,0
CLI-00008,56,66,mensal,cartao_credito,67.83,4457.69,2,1,1,2,0
CLI-00009,36,55,mensal,cartao_credito,95.81,5522.5,5,1,1,2,0
CLI-00010,40,48,bienal,debito_automatico,77.01,3706.64,3,1,1,3,0
CLI-00011,28,22,anual,boleto,87.68,1763.8,4,1,0,1,0
CLI-00012,28,27,bienal,debito_automatico,113.08,3016.61,4,1,0,3,0
CLI-00013,41,67,mensal,debito_automatico,125.74,8776.57,5,1,1,2,0
CLI-00014,70,13,bienal,cartao_credito,139.38,1651.8,5,0,1,1,0
CLI-00015,53,45,mensal,boleto,57.9,2376.14,1,1,1,3,0
CLI-00016,57,10,mensal,cartao_credito,107.68,1048.93,3,1,1,1,0
CLI-00017,41,9,anual,boleto,111.01,938.14,3,1,1,1,0
CLI-00018,20,54,mensal,boleto,143.07,8397.58,5,1,1,1,0
CLI-00019,39,27,mensal,boleto,67.39,1849.13,2,0,1,1,0
CLI-00020,70,34,mensal,cartao_credito,53.93,1755.63,3,1,1,0,0
CLI-00021,19,1,mensal,debito_automatico,96.45,100.4,4,1,1,2,0
CLI-00022,41,32,anual,cartao_credito,166.17,5184.43,5,1,1,1,0
CLI-00023,61,71,anual,cartao_credito,72.09,4741.79,3,1,1,2,0
CLI-00024,47,67,anual,cartao_credito,87.74,5569.64,1,1,1,5,0
CLI-00025,55,20,anual,boleto,65.67,1350.9,5,1,1,4,0
CLI-00026,19,35,anual,boleto,138.3,4406.67,4,1,1,2,0
CLI-00027,38,17,mensal,cartao_credito,40.44,656.23,1,1,0,2,0
CLI-00028,50,18,mensal,debito_automatico,62.18,1053.95,5,1,1,5,0
CLI-00029,29,45,bienal,boleto,111.98,4737.9,5,1,1,0,0
CLI-00030,39,53,mensal,debito_automatico,96.37,5294.31,3,0,1,0,0
CLI-00031,61,68,anual,debito_automatico,106.39,7705.95,1,1,1,2,0
CLI-00032,42,65,mensal,debito_automatico,126.99,8610.72,5,1,1,1,0
CLI-00033,66,1,anual,boleto,61.99,63.8,4,1,1,0,0
CLI-00034,44,58,anual,debito_automatico,74.96,4709.8,1,1,1,3,0
CLI-00035,59,26,mensal,boleto,80.06,1897.71,3,1,0,3,0
CLI-00036,45,20,mensal,debito_automatico,59.3,1107.13,2,0,1,2,0
CLI-00037,33,10,anual,cartao_credito,118.67,1166.39,5,1,1,1,0
CLI-00038,32,59,mensal,cartao_credito,106.86,6143.91,2,1,1,2,0
CLI-00039,64,41,mensal,cartao_credito,93.89,3786.4,5,1,1,4,0
CLI-00040,68,5,anual,debito_automatico,87.34,411.06,3,1,1,3,0
CLI-00041,61,65,mensal,cartao_credito,88.68,5360.13,3,1,1,2,0
CLI-00042,72,17,bienal,boleto,80.78,1375.78,3,1,1,2,0
CLI-00043,69,22,mensal,debito_automatico,85.45,2040.84,3,1,1,3,0
CLI-00044,74,41,mensal,boleto,64.77,2598.19,1,1,0,3,0
CLI-00045,20,68,anual,boleto,80.49,4973.45,1,1,1,2,0
CLI-00046,54,69,mensal,boleto,98.27,7060.22,5,0,1,3,0
CLI-00047,68,11,mensal,boleto,86.54,912.17,1,1,1,1,0
CLI-00048,24,56,mensal,debito_automatico,98.2,5218.85,5,1,1,2,0
CLI-00049,38,51,mensal,cartao_credito,90.93,4474.43,1,1,1,5,0
CLI-00050,26,21,mensal,boleto,65.77,1443.0,1,1,1,2,0
CLI-00051,56,26,mensal,boleto,90.11,2492.25,1,1,1,0,1
CLI-00052,35,19,mensal,boleto,85.03,1644.02,4,1,1,5,0
CLI-00053,21,60,mensal,debito_automatico,111.71,6464.63,3,1,1,2,0
CLI-00054,42,71,anual,debito_automatico,66.44,4538.44,4,1,1,3,0
CLI-00055,31,47,anual,cartao_credito,77.88,3385.33,1,1,1,2,0
CLI-00056,67,71,mensal,debito_automatico,66.66,5143.01,1,0,1,1,0
CLI-00057,26,26,anual,cartao_credito,101.08,2700.69,4,1,1,2,0
CLI-00058,43,40,anual,cartao_credito,86.28,3124.7,5,1,1,2,0
CLI-00059,70,5,anual,debito_automatico,90.11,465.18,3,1,1,5,0
CLI-00060,19,21,anual,debito_automatico,87.81,1824.52,5,1,0,0,0
CLI-00061,37,4,mensal,cartao_credito,89.24,390.7,3,1,1,2,1
CLI-00062,45,23,bienal,boleto,79.38,1942.25,2,1,1,3,0
CLI-00063,64,15,mensal,boleto,100.6,1409.8,3,1,1,1,0
CLI-00064,24,8,mensal,debito_automatico,111.32,929.76,5,1,1,2,0
CLI-00065,61,41,anual,debito_automatico,131.57,5378.8,3,1,1,2,0
CLI-00066,25,19,mensal,boleto,75.8,1350.06,2,1,1,5,0
CLI-00067,64,46,mensal,cartao_credito,83.35,3986.5,2,1,1,2,0
CLI-00068,52,28,anual,debito_automatico,141.69,4004.92,1,1,1,1,0
CLI-00069,31,68,anual,cartao_credito,81.53,5023.31,2,1,1,2,0
CLI-00070,34,15,anual,debito_automatico,121.06,1869.14,4,1,1,3,0
CLI-00071,53,37,anual,debito_automatico,121.53,4618.01,5,0,1,2,0
CLI-00072,67,1,mensal,debito_automatico,148.7,138.12,4,1,1,5,0
CLI-00073,57,67,mensal,cartao_credito,73.39,4768.62,4,1,0,4,0
CLI-00074,21,24,anual,cartao_credito,79.11,1931.26,5,1,1,2,0
CLI-00075,19,27,mensal,debito_automatico,79.64,1994.94,4,1,1,0,0
CLI-00076,23,40,anual,debito_automatico,105.46,4515.99,4,0,1,1,0
CLI-00077,71,63,mensal,debito_automatico,81.93,4673.81,4,1,1,0,0
CLI-00078,59,61,mensal,cartao_credito,43.33,2433.18,2,0,0,3,0
CLI-00079,21,36,mensal,debito_automatico,91.51,3041.42,5,1,1,0,0
CLI-00080,71,24,anual,cartao_credito,117.37,2832.71,5,1,1,3,0
CLI-00081,46,24,mensal,cartao_credito,91.93,2259.32,5,1,1,1,0
CLI-00082,35,4,mensal,debito_automatico,124.85,489.79,4,0,1,4,1
CLI-00083,43,67,mensal,debito_automatico,63.49,4074.03,2,1,1,2,1
CLI-00084,61,34,mensal,cartao_credito,110.28,3981.48,5,1,0,2,0
CLI-00085,51,57,mensal,cartao_credito,86.18,4488.12,3,1,1,2,0
CLI-00086,27,49,mensal,debito_automatico,113.77,5329.77,5,1,1,0,0
CLI-00087,53,53,mensal,cartao_credito,83.78,4031.04,1,1,1,1,0
CLI-00088,31,23,mensal,debito_automatico,125.7,2610.02,3,0,1,2,0
CLI-00089,48,69,mensal,debito_automatico,123.8,8291.71,5,0,1,3,0
CLI-00090,65,53,anual,cartao_credito,93.58,4657.02,4,1,1,2,0
CLI-00091,32,62,bienal,cartao_credito,122.26,7228.96,5,1,1,1,0
CLI-00092,25,41,mensal,boleto,101.0,4406.81,2,1,1,1,0
CLI-00093,31,57,mensal,debito_automatico,126.9,6745.75,2,1,1,1,0
CLI-00094,40,60,mensal,debito_automatico,106.86,6770.95,5,1,1,0,0
CLI-00095,74,54,anual,debito_automatico,100.34,5608.06,4,1,1,2,0
CLI-00096,57,70,mensal,debito_automatico,128.25,8665.88,4,1,0,3,0
CLI-00097,38,57,mensal,boleto,62.03,3568.63,4,1,1,0,0
CLI-00098,33,10,anual,debito_automatico,105.91,1047.33,5,1,1,1,0
CLI-00099,62,40,mensal,cartao_credito,123.89,4587.3,5,1,1,1,0
CLI-00100,35,7,anual,debito_automatico,98.94,748.98,1,1,1,2,0
CLI-00101,64,38,mensal,debito_automatico,41.81,1610.9,2,1,1,6,0
CLI-00102,70,61,anual,debito_automatico,67.23,4412.91,3,1,1,3,0
CLI-00103,41,3,mensal,debito_automatico,44.15,141.03,3,1,1,2,0
CLI-00104,43,51,bienal,boleto,103.46,4833.0,2,1,1,3,0
CLI-00105,42,47,anual,debito_automatico,82.09,3632.35,1,1,1,1,0
CLI-00106,62,68,mensal,cartao_credito,114.38,7226.02,2,1,1,3,0
CLI-00107,58,38,mensal,cartao_credito,78.58,3183.58,1,1,1,1,0
CLI-00108,46,36,mensal,debito_automatico,122.82,4742.03,1,1,1,1,0
CLI-00109,32,41,anual,cartao_credito,83.14,3427.81,4,1,1,2,0
CLI-00110,62,69,anual,cartao_credito,78.66,4997.87,2,1,1,0,0
CLI-00111,18,13,mensal,debito_automatico,102.26,1232.5,3,1,0,0,0
CLI-00112,42,58,bienal,debito_automatico,95.74,5901.14,5,1,1,2,0
CLI-00113,24,50,mensal,boleto,118.34,6424.9,5,1,1,1,0
CLI-00114,26,30,mensal,cartao_credito,83.79,2362.61,2,1,1,3,0
CLI-00115,41,62,bienal,cartao_credito,106.62,5964.12,5,0,1,1,0
CLI-00116,18,25,anual,cartao_credito,75.49,1823.44,1,1,1,1,0
CLI-00117,61,27,mensal,debito_automatico,124.11,3036.31,5,1,1,2,0
CLI-00118,25,51,anual,cartao_credito,71.14,3866.13,1,1,1,3,0
CLI-00119,41,57,bienal,debito_automatico,55.6,3163.82,1,1,1,2,0
CLI-00120,28,47,anual,cartao_credito,95.34,4608.12,3,1,1,2,0
CLI-00121,68,39,anual,debito_automatico,97.32,3728.29,5,1,1,0,0
CLI-00122,34,16,anual,boleto,74.02,1147.73,3,0,1,0,0
CLI-00123,25,22,mensal,cartao_credito,75.38,1566.22,5,1,1,1,0
CLI-00124,52,54,anual,debito_automatico,96.62,5499.78,1,1,1,4,0
CLI-00125,52,21,mensal,debito_automatico,123.25,2689.48,5,1,1,3,1
CLI-00126,50,16,bienal,boleto,122.15,1899.96,3,1,1,5,0
CLI-00127,22,59,mensal,debito_automatico,102.06,5806.11,4,1,0,0,0
CLI-00128,59,31,anual,debito_automatico,115.57,3225.29,3,1,1,0,0
CLI-00129,56,42,mensal,boleto,83.13,3186.69,4,1,1,0,0
CLI-00130,58,32,mensal,debito_automatico,47.84,1568.62,2,1,0,0,0
CLI-00131,45,59,mensal,debito_automatico,78.97,4672.84,3,1,1,1,0
CLI-00132,24,34,bienal,cartao_credito,105.88,3552.98,5,0,1,1,0
CLI-00133,26,9,bienal,debito_automatico,109.21,1047.27,4,1,1,1,0
CLI-00134,25,11,mensal,boleto,135.62,1492.98,5,1,1,4,0
CLI-00135,29,10,bienal,boleto,108.44,1059.35,4,1,1,3,0
CLI-00136,51,17,anual,boleto,139.15,2205.29,3,1,1,2,0
CLI-00137,50,68,anual,boleto,96.4,6975.63,3,1,1,1,0
CLI-00138,65,48,mensal,debito_automatico,112.01,5458.47,5,1,1,0,0
CLI-00139,72,52,bienal,boleto,100.76,4812.46,3,1,1,0,0
CLI-00140,40,25,anual,debito_automatico,117.58,3027.04,5,1,0,4,0
CLI-00141,41,21,bienal,debito_automatico,85.29,1764.25,1,1,1,1,0
CLI-00142,54,65,anual,cartao_credito,77.35,5340.86,4,1,1,2,0
CLI-00143,52,63,anual,cartao_credito,127.04,8674.08,5,1,1,4,0
CLI-00144,61,51,anual,boleto,152.11,7913.48,4,1,1,1,0
CLI-00145,57,36,mensal,debito_automatico,60.34,2272.86,1,1,0,1,0
CLI-00146,39,66,mensal,cartao_credito,101.18,6085.67,4,1,1,0,0
CLI-00147,44,15,mensal,cartao_credito,82.54,1253.02,5,1,1,1,0
CLI-00148,52,39,mensal,boleto,109.04,4469.73,3,1,1,1,0
CLI-00149,18,70,anual,debito_automatico,117.02,8186.1,4,1,1,2,0
CLI-00150,52,1,anual,debito_automatico,71.92,73.27,4,0,1,3,0
CLI-00151,54,23,bienal,debito_automatico,51.75,1285.22,1,0,1,2,0
CLI-00152,64,39,mensal,debito_automatico,44.37,1625.95,2,0,1,1,0
CLI-00153,31,57,mensal,cartao_credito,125.41,6573.99,3,1,1,2,0
CLI-00154,20,34,mensal,debito_automatico,93.23,3290.68,5,1,1,4,0
CLI-00155,18,41,mensal,boleto,75.32,3287.52,1,1,1,1,0
CLI-00156,22,13,mensal,debito_automatico,102.67,1428.27,5,1,1,2,0
CLI-00157,43,70,anual,debito_automatico,129.77,9341.24,5,1,1,2,0
CLI-00158,72,6,mensal,cartao_credito,115.2,737.26,4,1,1,1,0
CLI-00159,31,52,anual,debito_automatico,90.14,4875.39,1,1,1,3,0
CLI-00160,56,3,mensal,cartao_credito,61.76,169.99,1,1,1,3,0
CLI-00161,44,63,bienal,debito_automatico,107.62,7135.39,3,1,1,1,0
CLI-00162,26,49,anual,debito_automatico,104.57,4795.34,2,1,1,6,0
CLI-00163,32,47,bienal,boleto,123.03,5477.8,5,1,1,0,0
CLI-00164,32,55,bienal,debito_automatico,68.22,3673.04,3,0,1,4,0
CLI-00165,43,64,bienal,cartao_credito,71.41,4400.75,3,1,0,1,0
CLI-00166,59,65,bienal,debito_automatico,144.74,9072.52,5,1,1,1,0
CLI-00167,30,67,anual,debito_automatico,140.88,8814.59,4,1,1,2,0
CLI-00168,68,15,mensal,cartao_credito,100.6,1446.79,4,1,1,3,0
CLI-00169,49,32,mensal,debito_automatico,108.57,3140.48,5,1,1,2,0
CLI-00170,56,68,mensal,boleto,81.15,5488.3,1,0,1,3,0
CLI-00171,66,18,anual,cartao_credito,97.58,1850.79,2,1,1,2,0
CLI-00172,69,43,mensal,debito_automatico,73.15,3373.34,4,1,1,1,0
